epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,224.112,0.88548,1.10792,0.96048,0.91362,0.8908,0.92583,0.73681,0.82696,1.06674,1.0502,0.000885523,0.000885523,0.000885523
43,229.246,0.93403,1.07742,0.98412,0.88955,0.92708,0.92635,0.74789,0.82177,1.02441,1.04515,0.000880023,0.000880023,0.000880023
44,234.296,0.95985,1.08594,1.01848,0.89606,0.90661,0.93119,0.74957,0.81598,0.96275,1.04051,0.000874524,0.000874524,0.000874524
45,239.469,0.87199,0.9692,0.95323,0.93884,0.89919,0.93794,0.73782,0.85264,0.96784,1.04468,0.000869024,0.000869024,0.000869024
46,244.769,0.89817,1.01945,0.98755,0.8812,0.89714,0.93083,0.74125,0.829,1.00174,1.04036,0.000863525,0.000863525,0.000863525
47,250.043,0.90265,0.96884,0.95359,0.89917,0.88612,0.92731,0.74167,0.82835,0.99385,1.03116,0.000858025,0.000858025,0.000858025
48,255.449,0.91987,0.922,0.9542,0.93182,0.87204,0.93336,0.74614,0.83785,0.95561,1.02952,0.000852526,0.000852526,0.000852526
49,260.883,0.89849,0.95451,0.97237,0.95425,0.88263,0.94582,0.76317,0.81155,0.91413,1.03237,0.000847026,0.000847026,0.000847026
50,266.361,0.88735,0.92284,0.96056,0.93096,0.90007,0.94372,0.77334,0.78482,0.86745,1.03118,0.000841527,0.000841527,0.000841527
51,271.801,0.89776,0.97003,0.97009,0.89973,0.92579,0.93812,0.75719,0.83881,0.89595,1.03583,0.000836027,0.000836027,0.000836027
52,277.037,0.86831,0.93078,0.95396,0.90634,0.92784,0.93863,0.76517,0.8043,0.87131,1.03314,0.000830528,0.000830528,0.000830528
53,282.353,0.8934,1.0067,0.9851,0.93804,0.90046,0.93464,0.76014,0.78791,0.86263,1.03571,0.000825029,0.000825029,0.000825029
54,287.427,0.89981,1.01147,0.96784,0.93407,0.88052,0.93787,0.75332,0.82122,0.90892,1.04073,0.000819529,0.000819529,0.000819529
55,292.615,0.8832,0.93036,0.95671,0.90754,0.87804,0.93715,0.75493,0.79917,0.92859,1.04307,0.00081403,0.00081403,0.00081403
56,297.706,0.85846,0.94515,0.9788,0.90983,0.904,0.93943,0.74412,0.8324,0.90411,1.04807,0.00080853,0.00080853,0.00080853
57,302.811,0.85566,0.85653,0.93608,0.88563,0.93951,0.93976,0.75632,0.79646,0.81749,1.02807,0.000803031,0.000803031,0.000803031
58,307.845,0.85639,0.85171,0.94105,0.90514,0.91341,0.93736,0.7671,0.78474,0.82035,1.0112,0.000797531,0.000797531,0.000797531
59,312.909,0.91122,0.90459,0.96934,0.88071,0.91517,0.93491,0.7695,0.80168,0.79412,1.0223,0.000792032,0.000792032,0.000792032
60,318.073,0.85634,0.88022,0.94763,0.89567,0.91532,0.93505,0.76619,0.79854,0.79681,1.01448,0.000786532,0.000786532,0.000786532
61,323.201,0.84967,0.89199,0.94434,0.8999,0.89487,0.93243,0.75938,0.77848,0.82195,1.02236,0.000781033,0.000781033,0.000781033
62,328.385,0.86813,0.98086,0.97936,0.90538,0.8851,0.92856,0.75922,0.81287,0.81919,1.04172,0.000775534,0.000775534,0.000775534
63,333.495,0.88189,0.92849,1.00036,0.93135,0.84672,0.93155,0.764,0.8003,0.7956,1.04698,0.000770034,0.000770034,0.000770034
64,338.459,0.85333,0.85268,0.94747,0.90901,0.86506,0.93387,0.77037,0.80806,0.777,1.05143,0.000764535,0.000764535,0.000764535
65,343.572,0.87297,0.83868,0.9562,0.87135,0.94104,0.92694,0.74493,0.83647,0.78937,1.05531,0.000759035,0.000759035,0.000759035
66,348.837,0.85989,0.81606,0.95505,0.90137,0.89173,0.92318,0.75731,0.83765,0.80133,1.03559,0.000753536,0.000753536,0.000753536
67,354.08,0.8528,0.81976,0.93776,0.82708,0.95894,0.93658,0.76398,0.78784,0.7338,1.00716,0.000748036,0.000748036,0.000748036
68,359.067,0.86379,0.87671,0.98361,0.83841,0.95063,0.93859,0.77269,0.79061,0.74206,1.0127,0.000742537,0.000742537,0.000742537
69,364.154,0.86345,0.7847,0.94165,0.87008,0.92551,0.93323,0.76825,0.78608,0.75326,1.01269,0.000737037,0.000737037,0.000737037
70,369.265,0.86186,0.908,0.99396,0.86607,0.93162,0.94065,0.77477,0.79741,0.7732,1.02256,0.000731538,0.000731538,0.000731538
71,374.488,0.83706,0.84821,0.94137,0.90634,0.9277,0.94267,0.77893,0.78712,0.73888,1.01791,0.000726038,0.000726038,0.000726038
72,380.542,0.88155,0.83869,0.96439,0.90528,0.92347,0.93943,0.77287,0.78377,0.71576,1.00665,0.000720539,0.000720539,0.000720539
73,387.183,0.81785,0.87255,0.95557,0.92809,0.90897,0.9438,0.77313,0.80226,0.7346,1.01341,0.00071504,0.00071504,0.00071504
74,392.369,0.80787,0.88059,0.91732,0.92067,0.90506,0.94501,0.7794,0.79015,0.74027,1.01731,0.00070954,0.00070954,0.00070954
75,397.425,0.87553,0.89073,0.96581,0.93494,0.892,0.94012,0.77712,0.75695,0.709,1.01106,0.000704041,0.000704041,0.000704041
76,402.407,0.87077,0.98744,0.98587,0.922,0.90244,0.93598,0.77341,0.77789,0.72345,1.00868,0.000698541,0.000698541,0.000698541
77,407.33,0.79248,0.83232,0.95524,0.91146,0.9034,0.93798,0.76341,0.81307,0.73143,1.02706,0.000693042,0.000693042,0.000693042
78,412.473,0.83026,0.86934,0.97995,0.91095,0.90419,0.93604,0.75521,0.78675,0.75164,1.03471,0.000687542,0.000687542,0.000687542
79,417.749,0.85574,0.83342,0.96949,0.94352,0.88902,0.93945,0.76368,0.78274,0.72837,1.02489,0.000682043,0.000682043,0.000682043
80,422.971,0.84903,0.82946,0.97994,0.92737,0.89169,0.93714,0.75236,0.80419,0.73404,1.01285,0.000676543,0.000676543,0.000676543
81,428.083,0.84079,0.79945,0.95996,0.8795,0.93378,0.93625,0.75132,0.80093,0.78418,1.01874,0.000671044,0.000671044,0.000671044
82,433.088,0.85107,0.77271,0.94449,0.88522,0.93368,0.9349,0.76088,0.78046,0.75699,1.00848,0.000665545,0.000665545,0.000665545
83,438.174,0.83634,0.80545,0.97315,0.87221,0.9334,0.92797,0.74003,0.78902,0.76537,1.00758,0.000660045,0.000660045,0.000660045
84,443.219,0.77915,0.76598,0.91976,0.8972,0.90842,0.93377,0.74583,0.77606,0.71968,1.00955,0.000654546,0.000654546,0.000654546
85,448.265,0.831,0.79,0.96246,0.90903,0.91339,0.93825,0.76459,0.74731,0.69853,1.00224,0.000649046,0.000649046,0.000649046
86,453.388,0.79234,0.7269,0.9276,0.89523,0.93113,0.93414,0.76786,0.78024,0.72756,1.01351,0.000643547,0.000643547,0.000643547
87,458.682,0.81715,0.74309,0.95911,0.88139,0.92671,0.93423,0.76154,0.78681,0.71831,1.01244,0.000638047,0.000638047,0.000638047
88,464.023,0.80945,0.78284,0.93593,0.85613,0.93502,0.93127,0.75712,0.77412,0.70655,1.02068,0.000632548,0.000632548,0.000632548
89,469.22,0.80145,0.76083,0.94535,0.94187,0.86443,0.93083,0.75316,0.77315,0.73503,1.02837,0.000627048,0.000627048,0.000627048
90,474.194,0.77158,0.73322,0.92757,0.90882,0.88928,0.93295,0.76186,0.77365,0.7299,1.02174,0.000621549,0.000621549,0.000621549
91,479.637,0.81936,0.8255,0.98812,0.8538,0.94255,0.92362,0.75187,0.76476,0.7732,1.01723,0.000616049,0.000616049,0.000616049
92,485.022,0.80022,0.76477,0.92618,0.85843,0.93736,0.92681,0.75834,0.7585,0.75053,0.99936,0.00061055,0.00061055,0.00061055
93,490.352,0.78628,0.83592,0.98,0.87866,0.93794,0.93313,0.76172,0.77297,0.75175,1.00145,0.000605051,0.000605051,0.000605051
