epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9087,1.3986,4.42712,1.20525,0.02896,0.5069,0.19597,0.14313,0.89139,4.19688,1.03432,0.000360588,0.000360588,0.000360588
2,23.5132,1.40158,3.29145,1.18325,1,0.05159,0.32594,0.24077,1.08233,4.03078,1.08944,0.000723685,0.000723685,0.000723685
3,27.9059,1.3312,2.90231,1.14024,0.46086,0.46005,0.54997,0.36059,1.18526,3.34601,1.15084,0.00107945,0.00107945,0.00107945
4,32.2991,1.34679,2.56682,1.16116,0.57554,0.65474,0.65063,0.46075,1.08865,2.7368,1.18988,0.001078,0.001078,0.001078
5,36.6997,1.2972,2.35011,1.12554,0.62758,0.71058,0.73007,0.53108,1.08907,2.60776,1.17499,0.001067,0.001067,0.001067
6,41.1303,1.28501,2.46776,1.14871,0.77612,0.76562,0.79422,0.58973,1.1327,2.21984,1.17838,0.00105601,0.00105601,0.00105601
7,45.5564,1.22958,2.12743,1.12326,0.77909,0.82632,0.86602,0.64363,1.04801,1.87779,1.14661,0.00104501,0.00104501,0.00104501
8,50.079,1.21121,2.20924,1.10174,0.81447,0.73647,0.83132,0.59997,1.02527,1.94351,1.12411,0.00103401,0.00103401,0.00103401
9,54.5805,1.24439,2.03839,1.10064,0.78843,0.80444,0.84674,0.6251,1.05275,1.94788,1.13991,0.00102301,0.00102301,0.00102301
10,58.9839,1.1513,2.08117,1.05653,0.87619,0.87433,0.90608,0.67596,1.00185,1.73744,1.12594,0.00101201,0.00101201,0.00101201
11,63.4386,1.14857,2.08654,1.07758,0.86588,0.89136,0.87616,0.65029,1.01605,1.74002,1.11417,0.00100101,0.00100101,0.00100101
12,67.9451,1.18464,2.09416,1.11546,0.85224,0.89635,0.88046,0.66369,0.98252,1.56957,1.13381,0.000990012,0.000990012,0.000990012
13,72.411,1.09722,2.02395,1.07358,0.83545,0.9104,0.88335,0.65909,0.97296,1.46583,1.13967,0.000979013,0.000979013,0.000979013
14,76.8224,1.17542,2.04501,1.12489,0.83124,0.8968,0.88064,0.67612,0.99687,1.41532,1.12218,0.000968014,0.000968014,0.000968014
15,81.2709,1.15515,1.71616,1.08776,0.86974,0.89014,0.89594,0.70119,0.93542,1.38292,1.09877,0.000957015,0.000957015,0.000957015
16,85.6993,1.13941,1.67347,1.07512,0.87902,0.90736,0.90878,0.69949,0.90992,1.31461,1.08349,0.000946016,0.000946016,0.000946016
17,90.1652,1.07729,1.71823,1.06198,0.90234,0.86602,0.90533,0.70558,0.8708,1.1528,1.08237,0.000935018,0.000935018,0.000935018
18,94.6547,1.07423,1.64656,1.08283,0.88955,0.89309,0.91434,0.71139,0.88635,1.14422,1.05997,0.000924019,0.000924019,0.000924019
19,99.1097,1.09934,1.64006,1.05826,0.89758,0.87365,0.91318,0.71431,0.863,1.22009,1.053,0.00091302,0.00091302,0.00091302
20,103.546,1.07367,1.49364,1.03873,0.89109,0.87011,0.90809,0.71006,0.84484,1.10773,1.04032,0.000902021,0.000902021,0.000902021
21,107.953,1.00167,1.45124,1.03339,0.89268,0.88095,0.91419,0.70985,0.86613,1.01373,1.0616,0.000891022,0.000891022,0.000891022
22,112.391,1.08937,1.49298,1.03818,0.8753,0.91693,0.92155,0.71548,0.85272,0.96098,1.05286,0.000880023,0.000880023,0.000880023
23,116.783,0.98205,1.63765,1.02774,0.86941,0.91914,0.9307,0.72561,0.86194,0.98193,1.05597,0.000869024,0.000869024,0.000869024
24,121.216,1.01344,1.32526,1.00759,0.90832,0.88493,0.91922,0.717,0.88579,0.98917,1.06363,0.000858025,0.000858025,0.000858025
25,125.619,1.01203,1.41717,1.02115,0.87483,0.90351,0.89833,0.6981,0.9133,0.96562,1.06445,0.000847026,0.000847026,0.000847026
26,130.019,1.01493,1.51537,1.04088,0.90733,0.88376,0.92069,0.73089,0.87474,0.89381,1.05397,0.000836027,0.000836027,0.000836027
27,134.472,1.02741,1.40843,1.03169,0.8942,0.91601,0.92337,0.73653,0.85181,0.84872,1.03512,0.000825029,0.000825029,0.000825029
28,138.92,0.99674,1.27488,1.00759,0.8613,0.92722,0.9185,0.73481,0.87576,0.8971,1.05695,0.00081403,0.00081403,0.00081403
29,143.349,0.94892,1.34057,1.02307,0.8747,0.92802,0.91772,0.71777,0.88937,0.94443,1.06889,0.000803031,0.000803031,0.000803031
30,147.812,1.02672,1.33213,1.04601,0.89917,0.9031,0.92979,0.72388,0.89065,0.92287,1.07634,0.000792032,0.000792032,0.000792032
31,152.224,0.98227,1.21523,0.9917,0.89229,0.90096,0.92426,0.73495,0.87544,0.91668,1.07393,0.000781033,0.000781033,0.000781033
32,156.632,0.93527,1.39118,1.02971,0.87402,0.924,0.92777,0.73785,0.86557,0.88658,1.05954,0.000770034,0.000770034,0.000770034
33,161.057,1.00385,1.22993,1.00353,0.84097,0.92025,0.91757,0.72241,0.89338,0.86039,1.06025,0.000759035,0.000759035,0.000759035
34,165.428,0.94459,1.27887,1.01097,0.87514,0.89227,0.91845,0.72739,0.84681,0.89189,1.05409,0.000748036,0.000748036,0.000748036
35,169.866,0.97434,1.19427,1.04045,0.88668,0.90412,0.91378,0.73379,0.81177,0.87113,1.04009,0.000737037,0.000737037,0.000737037
36,174.569,0.97749,1.25852,1.03478,0.86717,0.89892,0.90531,0.73211,0.81886,0.9043,1.04826,0.000726038,0.000726038,0.000726038
37,179.361,0.93358,1.21974,1.0134,0.87401,0.91402,0.91577,0.73455,0.79456,0.87906,1.03781,0.00071504,0.00071504,0.00071504
38,184.228,0.89229,1.20306,0.9829,0.88825,0.92461,0.92116,0.73889,0.79498,0.8673,1.03721,0.000704041,0.000704041,0.000704041
39,189.079,0.93903,1.18089,0.97806,0.87663,0.9368,0.92541,0.74624,0.82068,0.87752,1.0225,0.000693042,0.000693042,0.000693042
40,193.899,0.95483,1.12563,0.98091,0.89415,0.90322,0.92402,0.74025,0.82914,0.86757,1.02171,0.000682043,0.000682043,0.000682043
41,198.798,0.91527,1.12145,0.99497,0.8764,0.90705,0.90437,0.7227,0.80656,0.83513,1.02639,0.000671044,0.000671044,0.000671044
42,203.619,0.89821,1.20212,0.98245,0.84529,0.93164,0.91313,0.73398,0.81495,0.82345,1.0291,0.000660045,0.000660045,0.000660045
43,208.893,0.95037,1.17791,1.00533,0.86508,0.92942,0.91755,0.73714,0.83086,0.86077,1.02822,0.000649046,0.000649046,0.000649046
44,213.695,0.97496,1.19773,1.034,0.869,0.92698,0.91918,0.74073,0.81552,0.83391,1.02469,0.000638047,0.000638047,0.000638047
45,218.469,0.8868,1.0763,0.97707,0.90115,0.89297,0.91803,0.73374,0.81632,0.87107,1.02085,0.000627048,0.000627048,0.000627048
46,223.277,0.90647,1.1316,1.0039,0.87429,0.89738,0.9238,0.75258,0.7949,0.88541,1.02376,0.000616049,0.000616049,0.000616049
47,228.08,0.90149,1.06332,0.96157,0.87178,0.92738,0.92949,0.74982,0.81571,0.85293,1.03332,0.000605051,0.000605051,0.000605051
48,232.875,0.92675,1.01401,0.96595,0.9086,0.89735,0.92323,0.74338,0.8157,0.84128,1.02004,0.000594052,0.000594052,0.000594052
49,237.662,0.91127,1.08312,0.9951,0.87154,0.91919,0.92838,0.75065,0.8161,0.82052,1.01903,0.000583053,0.000583053,0.000583053
50,242.475,0.87982,1.00186,0.95381,0.86264,0.93092,0.9302,0.75628,0.77376,0.80877,1.01416,0.000572054,0.000572054,0.000572054
51,247.305,0.8935,1.06544,0.98099,0.92389,0.8929,0.92412,0.75042,0.797,0.81015,1.0214,0.000561055,0.000561055,0.000561055
52,252.094,0.8602,1.03909,0.96577,0.89661,0.90738,0.92191,0.75752,0.7695,0.79069,1.01801,0.000550056,0.000550056,0.000550056
53,256.838,0.89833,1.10788,1.00239,0.89782,0.91351,0.92329,0.75584,0.78639,0.79584,1.02828,0.000539057,0.000539057,0.000539057
54,261.619,0.87816,1.09589,0.97264,0.89138,0.93103,0.92576,0.75364,0.79003,0.81917,1.03851,0.000528058,0.000528058,0.000528058
55,266.42,0.86429,1.05814,0.96111,0.89585,0.9319,0.92149,0.7466,0.77403,0.80979,1.03095,0.000517059,0.000517059,0.000517059
56,271.206,0.83954,1.02269,0.98632,0.89708,0.92938,0.92794,0.75021,0.76992,0.78919,1.03055,0.00050606,0.00050606,0.00050606
