epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.87956,1.40266,4.09058,1.16431,0.05147,0.68892,0.36554,0.24322,1.05387,4.29363,0.95489,0.000360324,0.000360324,0.000360324
2,12.7609,1.38628,3.00202,1.13322,1,0.08699,0.42928,0.31588,1.13051,3.91423,1.02433,0.000723424,0.000723424,0.000723424
3,18.629,1.32512,2.6994,1.12999,0.61221,0.37712,0.51138,0.32181,1.17397,3.47226,1.05681,0.00107919,0.00107919,0.00107919
4,24.4608,1.34194,2.70583,1.17493,0.72183,0.69204,0.74351,0.50322,1.06813,2.44955,1.06915,0.001078,0.001078,0.001078
5,30.3356,1.30893,2.41843,1.1287,0.70804,0.69298,0.74944,0.51988,1.10471,2.57785,1.08351,0.001067,0.001067,0.001067
6,36.2231,1.27398,2.08327,1.10902,0.77842,0.72165,0.80303,0.57683,1.12154,2.33328,1.08239,0.00105601,0.00105601,0.00105601
7,42.1562,1.21506,2.04223,1.09564,0.79218,0.76526,0.8202,0.59285,1.09561,2.12888,1.09477,0.00104501,0.00104501,0.00104501
8,48.0428,1.23115,2.08013,1.11187,0.82615,0.86363,0.884,0.64786,1.02461,1.85116,1.07255,0.00103401,0.00103401,0.00103401
9,53.8761,1.17544,1.94309,1.0843,0.83069,0.87482,0.89393,0.6471,1.0786,1.82718,1.06845,0.00102301,0.00102301,0.00102301
10,59.6756,1.20209,1.87796,1.08791,0.81254,0.81597,0.88666,0.67212,0.97194,1.61669,1.02397,0.00101201,0.00101201,0.00101201
11,65.472,1.17087,1.77283,1.08189,0.84817,0.85968,0.89831,0.68717,0.974,1.57405,1.03928,0.00100101,0.00100101,0.00100101
12,71.2745,1.12935,1.83973,1.05495,0.86564,0.88403,0.9073,0.68739,0.98312,1.5257,1.03204,0.000990012,0.000990012,0.000990012
13,77.1739,1.07138,1.72404,1.06485,0.88065,0.88147,0.91697,0.71435,0.9168,1.45556,1.02611,0.000979013,0.000979013,0.000979013
14,83.0212,1.07061,1.65409,1.04419,0.89134,0.89272,0.91393,0.704,0.93969,1.42566,1.02848,0.000968014,0.000968014,0.000968014
15,88.8359,1.07519,1.542,1.04807,0.92995,0.85624,0.91795,0.71825,0.94272,1.38974,1.02718,0.000957015,0.000957015,0.000957015
16,94.7806,1.07606,1.50112,1.06261,0.88507,0.90771,0.92317,0.72616,0.91208,1.33815,1.02609,0.000946016,0.000946016,0.000946016
17,100.733,1.03654,1.51747,0.9964,0.91417,0.89821,0.92731,0.73361,0.85615,1.29425,1.00438,0.000935018,0.000935018,0.000935018
18,106.72,1.03021,1.54152,1.05412,0.89381,0.90492,0.92429,0.7248,0.89059,1.26888,1.01296,0.000924019,0.000924019,0.000924019
19,112.69,1.02905,1.50207,1.03066,0.87397,0.92023,0.92696,0.72649,0.89883,1.17282,1.01699,0.00091302,0.00091302,0.00091302
20,118.696,1.01048,1.49311,1.02355,0.88768,0.93303,0.93304,0.73753,0.87443,1.16975,1.00881,0.000902021,0.000902021,0.000902021
21,124.703,1.04582,1.42868,1.05167,0.94762,0.87286,0.93765,0.74929,0.86542,1.13846,1.00285,0.000891022,0.000891022,0.000891022
22,130.684,0.9987,1.3612,1.02333,0.94598,0.88624,0.93107,0.74609,0.85335,1.14581,0.99899,0.000880023,0.000880023,0.000880023
23,136.911,1.01504,1.38985,1.03772,0.89683,0.91497,0.93599,0.74727,0.84377,1.07183,0.99644,0.000869024,0.000869024,0.000869024
24,142.718,0.95815,1.34379,0.98853,0.92211,0.88848,0.93701,0.75204,0.8581,1.06727,1.00276,0.000858025,0.000858025,0.000858025
25,148.458,1.00148,1.39738,1.03055,0.88299,0.93496,0.92499,0.73985,0.85805,1.14872,0.99972,0.000847026,0.000847026,0.000847026
26,155.291,0.9991,1.32293,0.99882,0.89952,0.91337,0.92,0.71899,0.86075,1.04025,0.99998,0.000836027,0.000836027,0.000836027
27,162.305,0.99024,1.24559,0.99497,0.91892,0.90842,0.92553,0.7332,0.85275,1.0344,0.99737,0.000825029,0.000825029,0.000825029
28,169.163,1.00025,1.31573,1.024,0.9292,0.89713,0.92462,0.74844,0.80916,1.01945,0.99458,0.00081403,0.00081403,0.00081403
29,175.716,0.96552,1.25698,1.00002,0.86749,0.92672,0.92694,0.73782,0.83241,1.00394,1.00414,0.000803031,0.000803031,0.000803031
