epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4854,1.96069,4.16925,1.33648,0.00105,0.22092,0.00229,0.00124,1.42423,4.12798,1.08871,4.444e-05,4.444e-05,4.444e-05
2,12.0769,1.66759,4.01521,1.23339,0.00874,0.29908,0.01068,0.00732,1.3424,3.99476,0.98623,9.90001e-05,9.90001e-05,9.90001e-05
3,13.7364,1.55662,3.7214,1.0755,0.04563,0.44629,0.16474,0.12039,1.19294,3.94819,0.93807,0.00015246,0.00015246,0.00015246
4,15.376,1.50706,3.21682,1.03046,0.03166,0.53409,0.29799,0.20673,1.18761,3.89437,0.95201,0.000204821,0.000204821,0.000204821
5,17.033,1.38235,2.68635,0.9735,0.02358,0.54468,0.31313,0.20968,1.12653,3.84337,0.93424,0.000256081,0.000256081,0.000256081
6,18.6664,1.37165,2.22503,0.96358,0.02354,0.60853,0.2894,0.17742,1.1167,3.79564,0.93835,0.000306242,0.000306242,0.000306242
7,20.2751,1.28556,1.905,0.98999,0.0242,0.54967,0.28724,0.19674,1.08482,3.80066,0.9348,0.000355302,0.000355302,0.000355302
8,21.8945,1.32836,1.80705,1.0215,0.0185,0.45268,0.22917,0.14327,1.08363,3.81865,0.96201,0.000403263,0.000403263,0.000403263
9,23.4844,1.29101,1.67326,1.00328,0.00691,0.35278,0.10031,0.0616,1.05824,3.83103,0.96401,0.000450124,0.000450124,0.000450124
10,25.1231,1.31325,1.53783,1.00218,0.00882,0.40896,0.20902,0.15502,1.09957,3.64111,0.98298,0.000495885,0.000495885,0.000495885
11,26.7148,1.25647,1.5107,1.01019,0.01015,0.51063,0.27541,0.21782,1.04177,3.51208,0.95357,0.000540546,0.000540546,0.000540546
12,28.3338,1.21374,1.34095,0.9469,0.01328,0.56291,0.39894,0.3182,1.0724,3.41033,0.9563,0.000584107,0.000584107,0.000584107
13,29.9614,1.17326,1.32336,0.95311,0.01623,0.64948,0.48394,0.37453,1.06212,3.27248,0.96001,0.000626568,0.000626568,0.000626568
14,31.6006,1.19274,1.32552,0.97999,0.02097,0.79435,0.55811,0.4269,1.07106,3.02695,0.96777,0.00066793,0.00066793,0.00066793
15,33.1981,1.1119,1.32037,0.96291,0.88879,0.04667,0.58928,0.45906,1.09756,2.99554,0.96539,0.000708191,0.000708191,0.000708191
16,34.8108,1.09981,1.24495,0.9549,0.79375,0.18075,0.61711,0.47262,1.06507,2.8609,0.95907,0.000747353,0.000747353,0.000747353
17,36.4047,1.17522,1.26059,0.95049,0.95528,0.23122,0.66536,0.5019,1.08315,2.65335,0.95916,0.000785415,0.000785415,0.000785415
18,38.0292,1.10197,1.21814,0.94058,0.94722,0.32327,0.75731,0.55404,1.08384,2.50832,0.97,0.000822377,0.000822377,0.000822377
19,39.6198,1.12024,1.21298,0.96399,0.9553,0.33693,0.77258,0.5686,1.06726,2.53386,0.98328,0.000858239,0.000858239,0.000858239
20,41.2104,1.11599,1.15525,0.95555,0.87107,0.27591,0.78788,0.54648,1.17362,2.44815,1.02702,0.000893001,0.000893001,0.000893001
21,42.82,1.1871,1.25003,0.96504,0.91741,0.32413,0.80654,0.5785,1.15224,2.30823,1.03962,0.000891022,0.000891022,0.000891022
22,44.4514,1.10312,1.14493,0.95015,0.88535,0.38891,0.76723,0.57668,1.16831,2.2219,1.03774,0.000880023,0.000880023,0.000880023
23,46.0567,1.09073,1.20386,0.95114,0.9004,0.51411,0.80473,0.5938,1.11337,2.06507,1.0307,0.000869024,0.000869024,0.000869024
