epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6822,1.82059,4.17395,1.3107,0.00294,0.2272,0.01655,0.01186,1.30738,4.13123,1.05567,3.333e-05,3.333e-05,3.333e-05
2,11.9062,1.79881,4.14967,1.24186,0.02597,0.31538,0.03661,0.02273,1.08546,4.03225,0.98901,7.70001e-05,7.70001e-05,7.70001e-05
3,13.1337,1.32311,3.86539,1.11162,0.02983,0.35934,0.04782,0.02883,1.24753,3.95007,0.95332,0.00011979,0.00011979,0.00011979
4,14.3588,1.27243,3.45725,1.0294,0.03714,0.6033,0.29062,0.22529,1.14542,3.92306,0.95755,0.0001617,0.0001617,0.0001617
5,15.5915,1.33364,3.03187,1.11111,0.0167,0.62582,0.32992,0.22835,1.19176,3.90913,0.94615,0.000202731,0.000202731,0.000202731
6,16.8391,1.35111,2.79695,1.06574,0.00857,0.59725,0.29432,0.20348,1.17788,3.86684,0.957,0.000242881,0.000242881,0.000242881
7,18.0537,1.22201,2.4594,1.04593,0.00934,0.61615,0.30545,0.19801,1.15096,3.86512,0.95711,0.000282152,0.000282152,0.000282152
8,19.2642,1.25449,2.24916,1.05518,0.00916,0.60778,0.29535,0.21862,1.09394,3.81319,0.94689,0.000320542,0.000320542,0.000320542
9,20.5006,1.13971,1.9612,1.00212,0.00714,0.60778,0.33742,0.25193,1.0789,3.79893,0.948,0.000358053,0.000358053,0.000358053
10,21.7304,1.17364,1.82254,1.01633,0.00384,0.49005,0.20949,0.15754,1.1163,3.83927,0.97633,0.000394684,0.000394684,0.000394684
11,22.96,1.21465,1.84836,1.08648,0.00328,0.49005,0.16902,0.13149,1.09021,3.83423,0.98905,0.000430435,0.000430435,0.000430435
12,24.1921,1.17785,1.70651,1.0427,0.00421,0.56148,0.14498,0.09554,1.1416,3.82639,0.99678,0.000465306,0.000465306,0.000465306
13,25.4158,1.14041,1.71569,1.02017,0.00454,0.51862,0.2157,0.17449,1.06232,3.72724,0.96208,0.000499297,0.000499297,0.000499297
14,26.6303,1.23318,1.60359,1.0933,0.00464,0.52213,0.2616,0.19407,1.13021,3.63996,0.99256,0.000532408,0.000532408,0.000532408
15,27.8291,1.10416,1.74442,1.04346,0.00465,0.53629,0.2642,0.19073,1.12819,3.61187,1.01856,0.000564639,0.000564639,0.000564639
16,29.1915,1.14114,1.4617,1.01904,0.00476,0.55869,0.28188,0.21594,1.09906,3.54278,1.00489,0.00059599,0.00059599,0.00059599
17,30.5641,1.12887,1.49888,1.05106,0.00617,0.62247,0.38454,0.28123,1.09718,3.50739,1.00234,0.000626462,0.000626462,0.000626462
18,31.7685,0.99684,1.47126,0.99188,0.0055,0.61085,0.41428,0.2934,1.11259,3.43992,0.9833,0.000656053,0.000656053,0.000656053
19,32.9653,1.0673,1.42877,1.00537,0.88385,0.08031,0.48335,0.36225,1.02967,3.26326,0.95152,0.000684765,0.000684765,0.000684765
