epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4808,1.96069,4.16925,1.33648,0.00105,0.22092,0.00229,0.00124,1.42423,4.12798,1.08871,4.444e-05,4.444e-05,4.444e-05
2,12.1778,1.67069,4.01476,1.23425,0.0096,0.29908,0.01034,0.00652,1.34671,3.9975,0.98608,9.9495e-05,9.9495e-05,9.9495e-05
3,13.9657,1.55774,3.71455,1.07361,0.03977,0.41745,0.16747,0.12429,1.19194,3.95609,0.94383,0.000154,0.000154,0.000154
4,15.7231,1.50607,3.21228,1.03179,0.02455,0.56944,0.30975,0.20951,1.1574,3.90282,0.94388,0.000207955,0.000207955,0.000207955
5,17.4431,1.37348,2.60619,0.97425,0.02167,0.55682,0.31029,0.20816,1.15295,3.84628,0.95721,0.000261361,0.000261361,0.000261361
6,19.1365,1.40088,2.21191,0.97032,0.02071,0.54494,0.26586,0.14897,1.13731,3.82534,0.9523,0.000314216,0.000314216,0.000314216
7,20.828,1.3489,1.9322,0.99102,0.01569,0.43121,0.16994,0.11031,1.11444,3.88982,0.97506,0.000366521,0.000366521,0.000366521
8,22.4798,1.31786,1.8244,1.01474,0.0069,0.25868,0.09253,0.04798,1.12745,3.90231,0.98967,0.000418277,0.000418277,0.000418277
9,24.1625,1.29356,1.67854,1.00518,0.0034,0.18539,0.04546,0.02953,1.09954,3.88338,0.98869,0.000469482,0.000469482,0.000469482
10,25.9056,1.32158,1.54019,1.01038,0.00468,0.231,0.1141,0.08363,1.15115,3.77173,1.00558,0.000520137,0.000520137,0.000520137
11,27.6015,1.28776,1.49911,1.00096,0.00497,0.2906,0.12543,0.09137,1.12813,3.69071,1.01788,0.000570243,0.000570243,0.000570243
12,29.3271,1.23269,1.33127,0.95076,0.00634,0.45337,0.07957,0.05624,1.08846,3.56086,1.08993,0.000619799,0.000619799,0.000619799
13,31.0157,1.18851,1.3326,0.94913,0.00891,0.49818,0.17428,0.13667,1.15745,3.5081,1.09435,0.000668804,0.000668804,0.000668804
14,32.7635,1.21506,1.30727,0.98137,0.01109,0.54462,0.23987,0.18852,1.15737,3.45951,1.09831,0.00071726,0.00071726,0.00071726
15,34.4095,1.15475,1.32352,0.96418,0.01023,0.58626,0.26883,0.20757,1.12713,3.37841,1.00009,0.000765166,0.000765166,0.000765166
16,36.0635,1.14043,1.27084,0.96361,0.7849,0.07261,0.47015,0.37403,1.09259,3.01673,0.96676,0.000812522,0.000812522,0.000812522
17,37.7437,1.18475,1.2623,0.94951,0.75157,0.17305,0.55378,0.42638,1.11385,2.72017,0.96656,0.000859327,0.000859327,0.000859327
18,39.4815,1.11836,1.22804,0.93829,0.76153,0.28069,0.67529,0.51511,1.08945,2.46435,0.94955,0.000905583,0.000905583,0.000905583
19,41.1702,1.13037,1.22841,0.96839,0.72494,0.25593,0.71164,0.52327,1.09542,2.43602,0.96086,0.000951289,0.000951289,0.000951289
20,42.8708,1.11257,1.15316,0.93884,0.86037,0.32471,0.74996,0.57328,1.10104,2.25426,0.97216,0.000996445,0.000996445,0.000996445
21,44.5727,1.18986,1.23,0.95865,0.87763,0.36576,0.74536,0.55402,1.10789,2.19084,0.97353,0.00100101,0.00100101,0.00100101
22,46.2914,1.11238,1.13874,0.94981,0.7154,0.51833,0.71851,0.53681,1.09664,2.08127,0.97279,0.000995512,0.000995512,0.000995512
23,47.9656,1.13089,1.19011,0.95666,0.74218,0.61027,0.73234,0.53823,1.05527,1.85445,0.98019,0.000990012,0.000990012,0.000990012
24,49.6713,1.13105,1.11273,0.9264,0.77505,0.62784,0.75355,0.57881,1.05967,1.75484,0.98656,0.000984513,0.000984513,0.000984513
25,51.3956,1.11557,1.15668,0.96464,0.73427,0.66017,0.74653,0.57111,1.07068,1.75662,1.00492,0.000979013,0.000979013,0.000979013
26,53.2132,1.06291,1.12426,0.96383,0.74275,0.70347,0.77317,0.58394,1.11806,1.53657,0.99373,0.000973514,0.000973514,0.000973514
27,55.1394,1.09441,1.11177,0.95854,0.73948,0.71565,0.77011,0.58081,1.08843,1.51546,0.99556,0.000968014,0.000968014,0.000968014
28,56.8878,1.06098,1.0639,0.94922,0.73328,0.73318,0.75731,0.58674,1.08025,1.67531,1.00643,0.000962515,0.000962515,0.000962515
29,58.6055,1.08987,1.05433,0.94159,0.72162,0.74482,0.7384,0.57445,1.08219,2.06523,1.01075,0.000957015,0.000957015,0.000957015
30,60.3244,1.04104,1.06293,0.92314,0.75681,0.80824,0.76097,0.60763,1.04168,1.83931,1.01586,0.000951516,0.000951516,0.000951516
31,62.0555,1.04039,1.04737,0.94873,0.79702,0.83115,0.81546,0.62879,1.02832,1.33859,0.99846,0.000946016,0.000946016,0.000946016
32,63.7656,1.05958,1.00844,0.92871,0.88166,0.85068,0.881,0.66819,0.97561,1.00541,0.9845,0.000940517,0.000940517,0.000940517
33,65.502,1.04606,1.04513,0.95347,0.85362,0.82461,0.86476,0.6674,0.98595,1.06599,0.98466,0.000935018,0.000935018,0.000935018
34,67.2275,0.99123,1.02733,0.94239,0.80101,0.80898,0.80679,0.62415,1.00048,1.35032,0.98332,0.000929518,0.000929518,0.000929518
35,68.8946,1.03769,1.0191,0.93623,0.8234,0.83143,0.81617,0.63711,1.00444,1.30608,0.98221,0.000924019,0.000924019,0.000924019
36,70.6099,1.04347,1.02552,0.95321,0.86863,0.84797,0.88725,0.67599,0.96564,0.92322,0.95657,0.000918519,0.000918519,0.000918519
37,72.3199,1.03935,1.01917,0.94936,0.83197,0.89057,0.89656,0.67697,0.98091,0.84429,0.95772,0.00091302,0.00091302,0.00091302
38,74.0837,0.97211,0.95394,0.9285,0.83746,0.89647,0.87689,0.68123,0.93653,0.86526,0.95866,0.00090752,0.00090752,0.00090752
39,75.8536,0.9951,0.93034,0.90846,0.80163,0.87887,0.87813,0.6671,0.9615,0.88496,0.97575,0.000902021,0.000902021,0.000902021
40,77.5517,0.9353,0.93749,0.9407,0.8406,0.899,0.87282,0.67345,0.93363,0.91951,0.98557,0.000896521,0.000896521,0.000896521
41,79.2119,1.00021,0.98779,0.95272,0.86428,0.86741,0.88492,0.67405,0.93037,0.91796,0.97844,0.000891022,0.000891022,0.000891022
42,80.8908,0.99024,0.96488,0.95953,0.8562,0.89005,0.89016,0.67699,0.95306,0.88919,0.97893,0.000885523,0.000885523,0.000885523
43,82.5613,0.98909,0.99528,0.96384,0.86952,0.8739,0.87767,0.67029,0.94331,0.94308,0.98063,0.000880023,0.000880023,0.000880023
44,84.2504,1.02331,0.9779,0.93774,0.87703,0.85161,0.89105,0.68414,0.97117,0.94213,0.97486,0.000874524,0.000874524,0.000874524
45,85.9441,0.9941,0.9504,0.93034,0.8937,0.85339,0.88676,0.67545,0.98414,0.86643,0.97661,0.000869024,0.000869024,0.000869024
46,87.6892,0.98233,0.9758,0.95703,0.85958,0.8701,0.87673,0.68571,0.94079,0.84619,0.96737,0.000863525,0.000863525,0.000863525
47,89.5905,0.94989,0.89339,0.92254,0.84774,0.88501,0.88105,0.68767,0.92371,0.85429,0.96408,0.000858025,0.000858025,0.000858025
48,91.5078,0.92805,0.95867,0.90689,0.89407,0.83332,0.87455,0.68185,0.94614,0.79912,0.95719,0.000852526,0.000852526,0.000852526
49,93.0962,0.96668,0.94332,0.93843,0.86923,0.82013,0.8687,0.68056,0.93266,0.81065,0.95987,0.000847026,0.000847026,0.000847026
50,94.7096,0.95014,0.94132,0.93382,0.84385,0.87293,0.87021,0.68548,0.93713,0.7817,0.97015,0.000841527,0.000841527,0.000841527
51,96.1868,0.97039,0.9312,0.95332,0.84184,0.88393,0.87492,0.67094,0.99664,0.79509,0.98125,0.000836027,0.000836027,0.000836027
52,97.8981,0.9457,0.90564,0.9333,0.84856,0.90998,0.89924,0.70027,0.92328,0.78888,0.98647,0.000830528,0.000830528,0.000830528
53,99.7449,0.94355,0.90464,0.93124,0.84549,0.90614,0.907,0.68886,0.96226,0.77618,0.977,0.000825029,0.000825029,0.000825029
54,101.249,0.96551,0.89054,0.93486,0.856,0.92067,0.9048,0.7091,0.88331,0.78737,0.96862,0.000819529,0.000819529,0.000819529
55,102.755,0.93429,0.87742,0.94009,0.84155,0.89008,0.88723,0.68865,0.94199,1.00589,0.97754,0.00081403,0.00081403,0.00081403
56,104.281,0.94481,0.85125,0.91048,0.81723,0.87271,0.87769,0.68014,0.93179,1.21137,0.96483,0.00080853,0.00080853,0.00080853
57,105.784,0.97584,0.85807,0.92682,0.89486,0.84222,0.89845,0.7061,0.89918,0.9279,0.9644,0.000803031,0.000803031,0.000803031
58,107.319,1.00215,0.97009,0.94925,0.87195,0.85702,0.90227,0.70224,0.91112,0.89791,0.96542,0.000797531,0.000797531,0.000797531
59,108.82,0.94885,0.86605,0.91753,0.85263,0.87066,0.91002,0.69919,0.91093,0.88687,0.96016,0.000792032,0.000792032,0.000792032
60,110.482,0.87207,0.82514,0.90154,0.87879,0.85209,0.90691,0.70831,0.89982,0.83441,0.96225,0.000786532,0.000786532,0.000786532
61,111.986,0.86269,0.84711,0.88945,0.88124,0.88298,0.90683,0.71073,0.88066,0.77233,0.96007,0.000781033,0.000781033,0.000781033
62,113.492,0.88973,0.86518,0.90431,0.8575,0.86193,0.89967,0.71654,0.86294,0.77099,0.9541,0.000775534,0.000775534,0.000775534
63,114.985,0.91965,0.8461,0.90811,0.88317,0.86023,0.90606,0.72362,0.84244,0.73977,0.94479,0.000770034,0.000770034,0.000770034
64,116.516,0.923,0.83618,0.91807,0.87593,0.84938,0.89743,0.71376,0.85337,0.7189,0.94879,0.000764535,0.000764535,0.000764535
65,118.027,0.91512,0.83853,0.9107,0.84431,0.85933,0.89905,0.71596,0.85559,0.71822,0.95532,0.000759035,0.000759035,0.000759035
66,119.564,0.87454,0.82198,0.90757,0.82056,0.89368,0.90257,0.70033,0.89591,0.71397,0.95915,0.000753536,0.000753536,0.000753536
67,121.13,0.9046,0.86859,0.92991,0.86641,0.85319,0.90006,0.71286,0.83412,0.6958,0.94851,0.000748036,0.000748036,0.000748036
68,122.646,0.88197,0.81771,0.90779,0.85872,0.86696,0.9006,0.70948,0.88108,0.72458,0.94912,0.000742537,0.000742537,0.000742537
69,124.294,0.88543,0.824,0.91056,0.85507,0.90117,0.90953,0.70485,0.88827,0.71558,0.945,0.000737037,0.000737037,0.000737037
70,125.807,0.92944,0.83128,0.91893,0.86804,0.91204,0.91108,0.69545,0.87908,0.72161,0.95263,0.000731538,0.000731538,0.000731538
71,127.326,0.93501,0.80167,0.9013,0.87174,0.91356,0.90426,0.6761,0.91067,0.79509,0.95961,0.000726038,0.000726038,0.000726038
72,129.005,0.91797,0.8587,0.92739,0.85363,0.91244,0.90133,0.68,0.91089,0.78963,0.9587,0.000720539,0.000720539,0.000720539
73,130.584,0.87508,0.80105,0.90256,0.83408,0.91231,0.90417,0.69631,0.86187,0.75781,0.95668,0.00071504,0.00071504,0.00071504
