epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.13024,1.82595,4.36436,1.30255,0.00284,0.2091,0.04441,0.03256,1.23728,4.20392,1.01017,9.999e-05,9.999e-05,9.999e-05
2,4.93814,1.63459,3.25106,1.0741,0.00611,0.33558,0.19234,0.14684,1.08857,4.02182,0.97456,0.000209,0.000209,0.000209
3,6.56443,1.53557,2.41501,1.04741,0.00854,0.47575,0.25575,0.19361,1.01612,3.8531,0.96964,0.000315811,0.000315811,0.000315811
4,8.1718,1.49574,1.97694,1.01989,0.00915,0.50796,0.3955,0.24021,1.08248,3.74992,0.97966,0.000420421,0.000420421,0.000420421
5,9.78279,1.37485,1.73027,0.99644,0.49265,0.51789,0.40129,0.26599,1.12629,3.53183,1.02181,0.000522832,0.000522832,0.000522832
6,11.3896,1.34155,1.62603,0.99555,0.83376,0.20905,0.46718,0.3111,1.14659,3.33826,1.07204,0.000623043,0.000623043,0.000623043
7,12.9878,1.31979,1.50033,1.01503,0.9626,0.16695,0.5733,0.41719,0.99175,3.21409,1.03343,0.000721055,0.000721055,0.000721055
8,14.5832,1.21737,1.46637,0.99038,0.9214,0.10101,0.67261,0.50053,0.9956,2.89284,1.01194,0.000816866,0.000816866,0.000816866
9,16.189,1.23488,1.39464,0.9963,0.95673,0.3132,0.69079,0.49413,1.0307,2.5825,1.03057,0.000910478,0.000910478,0.000910478
10,17.8501,1.20624,1.36995,1.00433,0.89359,0.41568,0.74936,0.54532,1.16208,2.43226,1.06928,0.00100189,0.00100189,0.00100189
11,19.541,1.233,1.38632,0.98285,0.84422,0.45212,0.7006,0.50223,1.06589,2.15969,1.05641,0.00100101,0.00100101,0.00100101
12,21.1363,1.22642,1.33932,1.02112,0.72471,0.62498,0.72461,0.52907,1.04006,2.13612,1.09004,0.000990012,0.000990012,0.000990012
13,22.7245,1.15871,1.29874,0.99432,0.63,0.58958,0.62486,0.46886,0.97,2.14323,1.04549,0.000979013,0.000979013,0.000979013
14,24.2842,1.09966,1.14969,0.94873,0.73728,0.69508,0.73391,0.52973,1.02114,1.78416,1.07854,0.000968014,0.000968014,0.000968014
15,25.8663,1.15675,1.25118,0.97061,0.74795,0.71399,0.76242,0.55734,0.93472,1.74283,1.04129,0.000957015,0.000957015,0.000957015
16,27.5117,1.13922,1.22712,0.98478,0.8144,0.84351,0.86619,0.64536,0.9239,1.28496,1.01614,0.000946016,0.000946016,0.000946016
17,29.1253,1.11829,1.25651,0.99037,0.81775,0.76275,0.82873,0.6193,0.91846,1.38785,1.03666,0.000935018,0.000935018,0.000935018
18,30.7695,1.14204,1.15206,0.98687,0.7763,0.84529,0.84832,0.63434,0.89522,1.34061,1.04271,0.000924019,0.000924019,0.000924019
19,32.4388,1.14199,1.13006,0.98685,0.74486,0.84682,0.81333,0.61686,0.96063,1.39656,1.09,0.00091302,0.00091302,0.00091302
20,34.1092,1.11882,1.14078,0.9867,0.79159,0.81909,0.82269,0.61688,0.91697,1.4212,1.05053,0.000902021,0.000902021,0.000902021
21,35.7125,1.08979,1.15602,0.97836,0.77793,0.75097,0.81137,0.61952,0.9279,1.41207,1.04488,0.000891022,0.000891022,0.000891022
22,37.27,1.08311,1.08078,0.97398,0.85968,0.83984,0.87296,0.67595,0.87171,1.21991,1.03472,0.000880023,0.000880023,0.000880023
23,38.8016,1.12522,1.1191,0.99274,0.86071,0.84119,0.88561,0.69244,0.91149,1.15923,1.05375,0.000869024,0.000869024,0.000869024
24,40.3179,1.07051,1.07858,0.96918,0.86,0.85788,0.87487,0.68134,0.86188,1.2194,1.03193,0.000858025,0.000858025,0.000858025
25,41.8026,1.01193,1.07086,0.94358,0.87116,0.86206,0.87366,0.68256,0.88386,1.2312,1.04637,0.000847026,0.000847026,0.000847026
26,43.3219,1.01161,0.99512,0.95202,0.8614,0.88286,0.87791,0.66975,0.88291,1.09316,1.05136,0.000836027,0.000836027,0.000836027
27,44.8062,1.04095,1.04149,0.97673,0.84147,0.88072,0.87696,0.66805,0.92532,1.15912,1.04459,0.000825029,0.000825029,0.000825029
28,46.4143,1.02356,1.00614,0.97013,0.85948,0.89269,0.88435,0.6773,0.91034,1.04885,1.03106,0.00081403,0.00081403,0.00081403
29,47.8929,1.00286,1.03932,0.94296,0.86805,0.86468,0.8721,0.66541,0.91448,1.05787,1.016,0.000803031,0.000803031,0.000803031
30,49.4527,1.03616,1.02553,0.98046,0.86714,0.85576,0.88933,0.67821,0.86734,1.02831,1.01298,0.000792032,0.000792032,0.000792032
31,50.9669,1.01233,1.00201,0.96298,0.87449,0.87309,0.89517,0.6845,0.85536,0.95504,1.0167,0.000781033,0.000781033,0.000781033
32,52.4789,0.99,1.01745,0.98313,0.81563,0.90204,0.89982,0.70395,0.84214,1.01302,1.02798,0.000770034,0.000770034,0.000770034
33,54.0014,1.02266,1.01358,0.962,0.90096,0.82547,0.89113,0.70189,0.85909,0.96228,1.02262,0.000759035,0.000759035,0.000759035
34,55.5159,0.9853,0.95282,0.93431,0.81335,0.90357,0.88059,0.68876,0.82903,0.99621,1.02138,0.000748036,0.000748036,0.000748036
35,56.9799,0.97952,0.95832,0.94076,0.81682,0.89258,0.86636,0.68018,0.84432,1.02532,1.02513,0.000737037,0.000737037,0.000737037
36,58.5329,0.98915,0.97076,0.94552,0.88485,0.84185,0.8897,0.69735,0.83331,0.99342,1.01951,0.000726038,0.000726038,0.000726038
37,60.2026,0.98519,0.93501,0.93134,0.85419,0.88906,0.89539,0.70169,0.82694,1.01308,1.01158,0.00071504,0.00071504,0.00071504
38,61.7887,0.95158,0.94242,0.93146,0.86544,0.87074,0.89723,0.69519,0.87541,1.00184,1.01788,0.000704041,0.000704041,0.000704041
39,63.3429,0.99343,0.92108,0.93253,0.87347,0.85807,0.89338,0.6996,0.83744,0.99057,1.00769,0.000693042,0.000693042,0.000693042
40,64.9109,0.93678,0.92987,0.93618,0.82023,0.90887,0.8917,0.69497,0.7916,0.93546,1.01536,0.000682043,0.000682043,0.000682043
41,66.4602,0.96355,0.90168,0.92937,0.83868,0.89287,0.8933,0.69637,0.80763,0.94947,1.01432,0.000671044,0.000671044,0.000671044
42,68.0424,0.97662,0.95291,0.96456,0.8465,0.8865,0.88276,0.69147,0.7901,0.96112,0.99937,0.000660045,0.000660045,0.000660045
43,69.6092,0.93503,0.89637,0.93232,0.83731,0.87947,0.88084,0.69865,0.77111,0.94346,0.99837,0.000649046,0.000649046,0.000649046
44,71.1759,0.94473,0.88319,0.93001,0.84305,0.89541,0.87554,0.69266,0.83343,0.94967,1.00945,0.000638047,0.000638047,0.000638047
