epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1356,1.46739,4.4219,1.20152,0.10555,0.49304,0.16641,0.12038,1.05788,4.16269,1.0127,0.00019998,0.00019998,0.00019998
2,24.299,1.29869,3.32173,1.1485,0.05712,0.77501,0.41598,0.30785,0.99423,4.03739,1.03544,0.000407,0.000407,0.000407
3,29.4687,1.34555,2.65638,1.15032,0.02216,0.77626,0.36404,0.26765,1.07428,3.86538,1.08668,0.000609841,0.000609841,0.000609841
4,34.5608,1.31068,2.50399,1.15165,0.86417,0.08533,0.36469,0.27293,1.10713,3.86775,1.11614,0.000808502,0.000808502,0.000808502
5,39.684,1.23891,2.1993,1.07044,0.98809,0.20271,0.49609,0.38513,1.04688,3.58044,1.10935,0.00100298,0.00100298,0.00100298
6,44.8117,1.27669,2.0384,1.10431,0.88871,0.43082,0.67697,0.47614,1.20056,3.04502,1.18086,0.00105601,0.00105601,0.00105601
7,49.9561,1.18436,2.05842,1.07603,0.76895,0.57586,0.73721,0.54435,1.11171,2.49201,1.16985,0.00104501,0.00104501,0.00104501
8,55.1157,1.23862,2.00858,1.13635,0.83835,0.75127,0.85111,0.63212,1.05427,2.00954,1.16837,0.00103401,0.00103401,0.00103401
9,60.3227,1.23943,1.85969,1.11999,0.81183,0.76052,0.82317,0.63114,1.02725,1.91439,1.13499,0.00102301,0.00102301,0.00102301
10,65.4668,1.11664,1.81265,1.07853,0.8401,0.70659,0.84511,0.64578,1.07629,1.72666,1.14774,0.00101201,0.00101201,0.00101201
11,70.6434,1.1469,1.66247,1.05432,0.82948,0.80358,0.86676,0.65137,1.12417,1.54061,1.16957,0.00100101,0.00100101,0.00100101
12,75.8007,1.10563,1.79846,1.05438,0.85434,0.90621,0.90727,0.67213,1.0296,1.44278,1.14476,0.000990012,0.000990012,0.000990012
